"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","madc",,,,"User:","root"
"Cmdline:","dstat -drmny --output /home/otp/dstat/dstat_metrics.csv",,,,"Date:","01 Aug 2019 19:10:36 BST"

"dsk/total",,"io/total",,"memory usage",,,,"net/total",,"system",
"read","writ","read","writ","used","buff","cach","free","recv","send","int","csw"
14487.271,3080096.581,0.461,86.287,3238912000.0,11341824.0,15981764608.0,1.82007431168e+11,0.0,0.0,26693.390,2694.193
0.0,0.0,0.0,0.0,3250946048.0,11341824.0,15981391872.0,1.81995769856e+11,152.0,0.0,7855.0,1194.0
0.0,0.0,0.0,0.0,3262361600.0,11341824.0,15981391872.0,1.81984354304e+11,92.0,0.0,63487.0,567.0
0.0,45056.0,0.0,1.0,3264319488.0,11341824.0,15981391872.0,1.81982396416e+11,270.0,166.0,72115.0,172.0
0.0,0.0,0.0,0.0,3264884736.0,11341824.0,15981436928.0,1.81981786112e+11,1288.0,0.0,72625.0,1790.0
0.0,0.0,0.0,0.0,3264884736.0,11341824.0,15981436928.0,1.81981786112e+11,1012.0,0.0,72110.0,2078.0
0.0,0.0,0.0,0.0,3266547712.0,11341824.0,15981518848.0,1.81980041216e+11,1840.0,0.0,72915.0,5799.0
0.0,0.0,0.0,0.0,3266547712.0,11341824.0,15981518848.0,1.81980041216e+11,920.0,0.0,72112.0,158.0
0.0,0.0,0.0,0.0,3266093056.0,11341824.0,15981662208.0,1.81980352512e+11,1114.0,134.0,72039.0,328.0
0.0,28672.0,0.0,2.0,3265966080.0,11341824.0,15981662208.0,1.81980479488e+11,632.0,236.0,72193.0,202.0
0.0,0.0,0.0,0.0,3266011136.0,11341824.0,15981744128.0,1.81980352512e+11,1194.0,1708.0,72169.0,270.0
0.0,0.0,0.0,0.0,3266154496.0,11341824.0,15981744128.0,1.81980209152e+11,180.0,174.0,72189.0,142.0
0.0,0.0,0.0,0.0,3265908736.0,11341824.0,15981826048.0,1.81980372992e+11,654.0,354.0,72148.0,324.0
0.0,0.0,0.0,0.0,3265888256.0,11341824.0,15981838336.0,1.81980381184e+11,1070.0,964.0,72276.0,794.0
0.0,0.0,0.0,0.0,3266600960.0,11341824.0,15981928448.0,1.81979578368e+11,1010.0,938.0,72602.0,1898.0
0.0,0.0,0.0,0.0,3267207168.0,11341824.0,15981928448.0,1.8197897216e+11,12721.0,1989.0,72274.0,2646.0
0.0,0.0,0.0,0.0,3265970176.0,11341824.0,15982026752.0,1.81980110848e+11,152.0,42.0,72173.0,1645.0
0.0,0.0,0.0,0.0,3265970176.0,11341824.0,15982026752.0,1.81980110848e+11,152.0,0.0,72194.0,182.0
0.0,45056.0,0.0,2.0,3265888256.0,11341824.0,15982108672.0,1.81980110848e+11,146.0,0.0,72033.0,171.0
0.0,0.0,0.0,0.0,3265888256.0,11341824.0,15982108672.0,1.81980110848e+11,60.0,0.0,72151.0,192.0
0.0,0.0,0.0,0.0,3265798144.0,11341824.0,15982190592.0,1.8198011904e+11,60.0,0.0,71931.0,300.0
0.0,221184.0,0.0,17.0,3265703936.0,11341824.0,15982252032.0,1.81980151808e+11,60.0,0.0,73369.0,5708.0
0.0,0.0,0.0,0.0,3265703936.0,11341824.0,15982252032.0,1.81980151808e+11,60.0,0.0,72145.0,155.0
0.0,0.0,0.0,0.0,3265703936.0,11341824.0,15982252032.0,1.81980151808e+11,0.0,0.0,72096.0,131.0
0.0,12288.0,0.0,3.0,3266146304.0,11341824.0,15982333952.0,1.8197962752e+11,60.0,0.0,72559.0,1712.0
0.0,8192.0,0.0,3.0,3266871296.0,11341824.0,15982415872.0,1.81978820608e+11,60.0,0.0,72295.0,2941.0
0.0,61440.0,0.0,6.0,3266871296.0,11341824.0,15982415872.0,1.81978820608e+11,60.0,0.0,72092.0,1470.0
0.0,0.0,0.0,0.0,3266871296.0,11341824.0,15982415872.0,1.81978820608e+11,60.0,0.0,72120.0,176.0
0.0,0.0,0.0,0.0,3266822144.0,11341824.0,15982415872.0,1.8197886976e+11,60.0,0.0,72385.0,955.0
0.0,0.0,0.0,0.0,3266560000.0,11341824.0,15982415872.0,1.81979131904e+11,60.0,0.0,72382.0,477.0
0.0,8192.0,0.0,2.0,3266560000.0,11341824.0,15982415872.0,1.81979131904e+11,11097.0,517.0,72292.0,347.0
0.0,0.0,0.0,0.0,3266560000.0,11341824.0,15982415872.0,1.81979131904e+11,0.0,0.0,72139.0,132.0
0.0,0.0,0.0,0.0,3266560000.0,11341824.0,15982415872.0,1.81979131904e+11,60.0,0.0,72066.0,428.0
0.0,57344.0,0.0,4.0,3266560000.0,11341824.0,15982415872.0,1.81979131904e+11,120.0,0.0,72182.0,153.0
0.0,0.0,0.0,0.0,3266994176.0,11341824.0,15982800896.0,1.81978312704e+11,230.0,110.0,72550.0,1557.0
0.0,0.0,0.0,1.0,3266801664.0,11341824.0,15982882816.0,1.81978423296e+11,180.0,0.0,72108.0,2229.0
0.0,1359872.0,0.0,3.0,3268263936.0,11341824.0,15982891008.0,1.81976952832e+11,3121.0,3481.0,73370.0,7000.0
0.0,0.0,0.0,0.0,3277238272.0,11341824.0,15982891008.0,1.81967978496e+11,1050.0,7770.0,72128.0,716.0
