time,metric_CPU operating frequency (in GHz),metric_CPU utilization %,metric_CPU utilization% in kernel mode,metric_CPI,metric_L1D MPI (includes data+rfo w/ prefetches),metric_L1D demand data read hits per instr,metric_L1-I code read misses (w/ prefetches) per instr,metric_L2 demand data read hits per instr,metric_L2 MPI (includes code+data+rfo w/ prefetches),metric_L2 demand data read MPI,metric_L2 demand code MPI,metric_LLC data read MPI (demand+prefetch),metric_Average LLC data read (demand+prefetch) miss latency (in clks),metric_Average LLC data read (demand+prefetch) miss latency (in ns),metric_ITLB MPI,metric_DTLB 2MB large page load MPI,metric_DTLB store MPI,metric_uncore frequency GHz,metric_package power (watts),metric_DRAM power (watts),metric_memory bandwidth read (MB/sec),metric_memory bandwidth write (MB/sec),metric_memory bandwidth total (MB/sec),metric_IO_read cache miss(disk/network writes) bandwidth (MB/sec),metric_IO_write cache miss(disk/network reads) bandwidth (MB/sec),metric_TMAM_Info_CoreIPC,metric_TMAM_Frontend_Bound(%),metric_TMAM_Frontend_Latency(%),metric_TMAM_ITLB_Misses(%),metric_TMAM_Branch_Resteers(%),metric_TMAM_Mispredicts_Resteers(%),metric_TMAM_Clears_Resteers(%),metric_TMAM_Unknown_Branches_Resteers(%),metric_TMAM_Frontend_Bandwidth(%),metric_TMAM_Bad_Speculation(%),metric_TMAM_Branch_Mispredicts(%),metric_TMAM_Branch_Clears(%),metric_TMAM_Backend_bound(%),metric_TMAM_Memory_Bound(%),metric_TMAM_L1_Bound(%),metric_TMAM_DTLB_Load(%),metric_TMAM_Store_Fwd_Blk(%),metric_TMAM_L2_Bound(%),metric_TMAM_L3_Bound(%),metric_TMAM_L3_Latency(%),metric_TMAM_L3_Bandwidth(%),metric_TMAM_SQ_Full(%),metric_TMAM_MEM_Bound(%),metric_TMAM_MEM_Bandwidth(%),metric_TMAM_MEM_Latency(%),metric_TMAM_Stores_Bound(%),metric_TMAM_DTLB_Store(%),metric_TMAM_Core_Bound(%),metric_TMAM_Divider(%),metric_TMAM_Ports_Utilization(%),metric_TMAM_0_Port_Utilized(%),metric_TMAM_1_Port_Utilized(%),metric_TMAM_2_Port_Utilized(%),metric_TMAM_3m_Ports_Utilized(%),metric_TMAM_Retiring(%),metric_TMAM_Base(%),metric_TMAM_Microcode_Sequencer(%)
1564686011,2.17583768,6.31490271,5.60963773,9.17548481,0.01517396,0.26372224,0.01510173,0.00647119,0.02559961,0.00620873,0.00599619,0.00411939,266.75565866,133.28444345,0.00010796,0.00007595,0.00004108,2.41959836,110.42000000,11.74000000,426.35916800,128.39520000,554.75436800,0.00096000,0.00204800,0.21797213,35.74077096,33.41972557,0.20867723,8.64332989,0.18965013,2.04901451,7.85417430,1.91054730,3.36892666,0.28540112,3.08352555,59.82298671,38.92749207,27.41204433,0.64484783,0.15053438,0.27396471,1.80951543,2.14309508,0.01105503,1.28950646,1.08611777,0.00197456,0.96508165,0.30538443,0.19819198,10.65738084,0.03842860,6.61420368,100.51651833,8.16749983,5.16595458,7.04970144,7.38839762,4.01750291,3.37089471
1564686012,1.24271551,6.60629907,5.51239830,5.04700985,0.02022617,0.26029369,0.02474846,0.00706880,0.03401124,0.00850714,0.00975071,0.00695579,202.04258759,157.83254744,0.00021048,0.00017966,0.00010078,1.60961839,82.13000000,10.40000000,949.96934400,194.63321600,1144.60256000,0.02208000,0.05600000,0.39627424,37.38958971,29.47534666,0.53298825,16.63118786,0.26742516,4.54114570,12.79299009,5.07694448,7.12301828,0.39614146,6.72687682,58.96470535,38.86016810,32.68328936,2.22967757,0.18755631,-3.06493583,10.21020722,8.72251672,0.05022405,3.52102556,2.52935047,0.00431966,1.85352710,0.60319115,0.47555561,7.09817458,0.06707059,11.27411405,100.61687102,12.90752206,6.12277079,14.18018265,9.92705506,6.19709406,3.72996100
1564686013,1.92186363,5.21404048,4.86824549,6.07458306,0.01489582,0.26124725,0.01173264,0.00732279,0.02468734,0.00618507,0.00459259,0.00298244,268.97986094,144.86855157,0.00010582,0.00007485,0.00004406,2.17025695,104.59000000,12.24000000,618.14041600,117.80870400,735.94912000,0.01817600,0.01363200,0.32924070,23.60402898,19.72447020,0.29316336,10.77316807,0.24980842,2.52976022,8.93799390,2.40878576,2.96503094,0.26647649,2.69855445,75.14578482,43.16516685,21.31054730,0.77655566,0.15842347,0.43008918,2.01992875,5.77056044,0.03202686,0.91694757,1.23847241,0.00399637,1.20051747,0.28644968,0.16682216,15.84892466,0.04025976,8.12707716,138.23107433,10.04076300,6.04360181,8.38818269,7.23363909,3.89925079,3.33438830
1564686014,2.39904150,5.65721487,4.75520992,9.87965722,0.01306153,0.26597348,0.00398423,0.00724352,0.01358664,0.00641700,0.00022551,0.00054132,249.95896565,110.98714658,0.00002480,0.00000053,0.00000272,2.40467323,115.56000000,13.80000000,294.69004800,101.32844800,396.01849600,0.00000000,0.00473600,0.20243617,14.70759940,11.83887586,0.11796337,6.39135894,0.21482195,1.16674221,6.34218601,1.90043867,2.22791475,0.34642256,1.88149219,82.41338547,45.67717821,16.21252477,0.27899562,0.12086169,0.14977973,1.11863200,1.99682769,0.01892585,0.00189786,0.80462058,0.00000000,0.65991037,0.09020153,0.04790400,20.85868289,0.03280763,5.76936912,134.12277662,7.69633178,4.25827026,6.40374146,5.61538007,3.18635996,2.42902011
1564686015,2.35645944,5.77470230,4.77187988,9.04745469,0.01393840,0.26407580,0.00536013,0.00696480,0.01251296,0.00525325,0.00038492,0.00065331,228.85446448,102.69803098,0.00002366,0.00000595,0.00000461,2.40615334,115.95000000,13.73000000,302.31763200,97.49536000,399.81299200,0.00000000,0.00512000,0.22105665,14.45659595,11.79850631,0.15536913,6.54280016,0.21820268,1.23709322,6.47093706,1.78643830,2.21685304,0.33238826,1.88446477,82.53162948,45.39558317,16.31721673,0.41994960,0.12528178,0.26639487,1.16269550,3.71160056,0.02101815,0.04395924,0.81133010,0.00000000,0.65790208,0.09117694,0.05263079,21.16776316,0.03318301,5.87207673,132.59624513,7.51399350,4.12710275,6.36668361,5.53558606,3.08672992,2.44885615
1564686016,1.59725032,4.87184751,4.87732272,6.60182437,0.01981886,0.26430134,0.02142070,0.00725577,0.03872517,0.00877601,0.01050748,0.00760997,228.87609864,144.45398662,0.00018083,0.00016259,0.00008548,2.23441136,102.41000000,10.67000000,540.53376000,79.76249600,620.29625600,0.00000000,0.00409600,0.30294656,31.98448105,26.14872816,0.33280380,14.60808078,0.27701237,3.87439357,10.69405001,3.43117199,4.24602048,0.28332575,3.96269473,68.48474801,38.46762148,23.56201977,1.60898790,0.16236113,0.59379721,2.37157508,5.11953147,0.02470275,2.52913183,0.60095117,0.00112342,0.65479660,0.49492991,0.29306853,13.04771679,0.04761805,10.66095029,139.47607295,12.99865352,8.50082567,10.11076815,8.46373076,4.24167570,4.22205505
1564686017,1.60357381,4.44104266,4.62102150,5.64929235,0.01979170,0.26553782,0.01903478,0.00733405,0.03704283,0.00761444,0.00965451,0.00656650,206.81974300,127.14166489,0.00015638,0.00013872,0.00006833,2.35772722,107.67000000,10.77000000,433.41907200,60.90860800,494.32768000,0.00096000,0.00102400,0.35402664,33.08642174,27.35916489,0.30827556,15.49939763,0.29409422,4.07197084,10.54425381,3.10557777,4.72041596,0.31796298,4.40245298,69.17135896,37.80767819,22.86152311,1.56747831,0.14587252,0.79945851,2.01585293,3.74901896,0.02167937,2.34363397,0.41976231,0.00045220,0.52325155,0.45591691,0.29974717,12.61887150,0.05043005,11.69672484,152.13315243,13.88188723,9.10263791,10.28091574,8.16727034,4.30463764,3.86263271
1564686018,1.60210091,4.53376342,4.61200453,4.89262660,0.01830429,0.26333491,0.01652531,0.00588192,0.03036378,0.00686372,0.00837476,0.00565000,140.83174627,88.31197250,0.00014001,0.00012942,0.00006615,2.35775264,107.87000000,10.78000000,452.70662400,72.92044800,525.62707200,0.00102400,0.00512000,0.40877839,34.45848603,27.22349287,0.29503771,15.45665787,0.33592519,4.09299491,10.35376508,3.86465933,4.26261237,0.32331106,3.93930131,68.42340990,36.74454054,22.68947396,1.44295444,0.14629803,0.44714316,2.01576530,3.71928986,0.02694625,2.25042889,0.49703774,0.00175161,0.54947521,0.44196693,0.29762576,12.20458652,0.05302337,11.68299776,149.21518194,13.90380980,9.08445574,11.81780068,8.90755956,4.94548624,3.96207332
1564686019,1.51857493,4.96395355,4.70779986,2.80108297,0.01159982,0.25931994,0.01218192,0.00591784,0.02043961,0.00434588,0.00548192,0.00353801,162.38840864,105.14765374,0.00009928,0.00007672,0.00004542,2.33593621,107.69000000,10.84000000,651.96294400,160.16608000,812.12902400,0.00710400,0.02176000,0.71400955,42.44653108,34.78217035,0.35169925,15.68631776,0.41798031,4.02089835,10.96038655,4.26770544,7.53947944,0.70994371,6.82953573,57.23983823,31.42642969,25.41492648,1.78555368,0.25353697,-0.10966794,2.44507977,4.54449069,0.02787521,2.23048940,1.45220008,0.01444780,1.87610665,0.53634864,0.49759690,6.49674496,0.06665340,11.95853804,142.36368540,15.88328527,12.78668509,16.54470358,11.58540496,7.93407769,3.65132728
1564686020,1.43958216,4.77563621,4.90244262,5.97107105,0.02093005,0.25820483,0.02201382,0.00729117,0.03715010,0.00755958,0.01031442,0.00790739,273.44945240,184.77334507,0.00019964,0.00015896,0.00009658,1.96630919,93.85000000,10.79000000,679.50873600,150.06240000,829.57113600,0.00716800,0.02521600,0.33494828,36.45357209,30.85607456,0.37257215,17.36645430,0.30393377,4.60858672,11.47348411,3.15552081,4.72568534,0.29237443,4.43331091,66.00014443,41.13096071,29.71661221,1.74570908,0.22880510,0.72384883,3.28097812,6.33973453,0.03712080,2.88627021,2.03682769,0.00008161,2.38149482,0.57055413,0.32974467,9.17018995,0.05206208,11.77416484,143.87742447,14.12365131,9.64004239,10.84441854,8.72391452,4.42425338,4.29966114
